Product,Handle,Product ID,Category,Metafield,Extracted Value,Existing Value,Action,Reason,Confidence
Officeneed Unruled Wiro Book Flexible - City's,officeneed-unruled-wiro-book-flexible-geometric,gid://shopify/Product/8238959624285,Officeneed Exclusive,product_common.brand,,Officeneed,EXISTING — SKIPPED,Shopify already has a value and the description doesn't contradict it; not touched.,
Officeneed Unruled Wiro Book Flexible - City's,officeneed-unruled-wiro-book-flexible-geometric,gid://shopify/Product/8238959624285,Officeneed Exclusive,product_common.product_type,,Unruled Wiro Book,EXISTING — SKIPPED,Shopify already has a value and the description doesn't contradict it; not touched.,
Officeneed Unruled Wiro Book Flexible - City's,officeneed-unruled-wiro-book-flexible-geometric,gid://shopify/Product/8238959624285,Officeneed Exclusive,product_common.dimensions,A4,A4,EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,medium
Officeneed Unruled Wiro Book Flexible - City's,officeneed-unruled-wiro-book-flexible-geometric,gid://shopify/Product/8238959624285,Officeneed Exclusive,product_stationery.pages,250,250,EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,medium
Officeneed Unruled Wiro Book Flexible - City's,officeneed-unruled-wiro-book-flexible-geometric,gid://shopify/Product/8238959624285,Officeneed Exclusive,product_stationery.paper_weight,,100 GSM,EXISTING — SKIPPED,Shopify already has a value and the description doesn't contradict it; not touched.,
Officeneed Unruled Wiro Book Flexible - City's,officeneed-unruled-wiro-book-flexible-geometric,gid://shopify/Product/8238959624285,Officeneed Exclusive,product_stationery.ruling,Unruled,Unruled,EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,medium
Officeneed Unruled Wiro Book Flexible - City's,officeneed-unruled-wiro-book-flexible-geometric,gid://shopify/Product/8238959624285,Officeneed Exclusive,product_stationery.binding,"270 GSM non-tearable PVC cover, Strong and durable Wiro binding","Wiro binding, 270 GSM non-tearable PVC cover",CONFLICT — MANUAL REVIEW,"Shopify has ""Wiro binding, 270 GSM non-tearable PVC cover"" but the description says ""270 GSM non-tearable PVC cover, Strong and durable Wiro binding"". Needs a human decision.",medium
"Officeneed  Unruled Notebook – A5, 40 Pages",officeneed-unruled-notebook-a5-40-pages,gid://shopify/Product/8224986988637,Officeneed Exclusive,product_common.brand,Officeneed,Officeneed,EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,high
"Officeneed  Unruled Notebook – A5, 40 Pages",officeneed-unruled-notebook-a5-40-pages,gid://shopify/Product/8224986988637,Officeneed Exclusive,product_common.product_type,Unruled Notebook,Unruled Notebook,EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,high
"Officeneed  Unruled Notebook – A5, 40 Pages",officeneed-unruled-notebook-a5-40-pages,gid://shopify/Product/8224986988637,Officeneed Exclusive,product_common.dimensions,A5 (148mm x 210mm),A5 (148mm x 210mm),EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,medium
"Officeneed  Unruled Notebook – A5, 40 Pages",officeneed-unruled-notebook-a5-40-pages,gid://shopify/Product/8224986988637,Officeneed Exclusive,product_stationery.pages,40,40,EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,high
"Officeneed  Unruled Notebook – A5, 40 Pages",officeneed-unruled-notebook-a5-40-pages,gid://shopify/Product/8224986988637,Officeneed Exclusive,product_stationery.paper_weight,100gsm,100gsm,EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,high
"Officeneed  Unruled Notebook – A5, 40 Pages",officeneed-unruled-notebook-a5-40-pages,gid://shopify/Product/8224986988637,Officeneed Exclusive,product_stationery.ruling,Unruled,Unruled,EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,high
"Officeneed  Unruled Notebook – A5, 40 Pages",officeneed-unruled-notebook-a5-40-pages,gid://shopify/Product/8224986988637,Officeneed Exclusive,product_stationery.binding,,,NOT FOUND,"This field is relevant to the category's schema, but the description doesn't state it.",
